codigo_bip,descripcion,anio,tipologia,sector,sub_sector,fuente_financiera,rate,monto_solicitado_M,etapa_actual,institucion_financiera,institucion_formuladora,costo_total_M,localidad,tipo_territorial,latitud,longitud,decada,periodo_pladeco
20109897,CONSTRUCCION MULTICANCHA POBLACION RIENCI VALENCIA,1997,PROYECTO,Deporte,DEPORTE RECREATIVO,FNDR,OT,20000.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,DIRECCIÓN DE DEPORTES Y RECREACIÓN VI REGION,20000.0,Rienci Valencia,Urbano,-34.41,-70.87,1990s,Pre-PLADECO
20109904,CONSTRUCCION ESTADI CLUB DEPORTIVO LA ISLA,1997,PROYECTO,Deporte,DEPORTE RECREATIVO,FNDR,OT,12000.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,DIRECCIÓN DE DEPORTES Y RECREACIÓN VI REGION,12000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20110571,CONSTRUCCION PAVIMENTACION CALLE LIBERTAD - RENGO.,1997,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,RS,9307.0,EJECUCION,SERVICIO VIVIENDA Y URBANIZACION VI REGION,MUNICIPALIDAD DE RENGO,9307.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20110574,CONSTRUCCION PAVIMENTACION CALLE GUANGUALI NORTE - RENGO.,1997,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",FNDR,RS,13483.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,13483.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20110682,MEJORAMIENTO ELECTRIFICACION DOMICILIARRIA PATRIA JOVEN RENGO,1997,PROYECTO,Energía,DISTRIBUCION Y CONEXION FINAL USUARIOS,FNDR,FI,2124.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,2124.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20110687,CONSTRUCCION MULTICANCHA COMPLEMENTARIA GIMNASIO MUNICIPAL RENGO,1997,PROYECTO,Deporte,DEPORTE RECREATIVO,FNDR,OT,12000.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,12000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20110692,REPARACION PLAZA DE ARMAS DE RENGO,1997,PROYECTO,Deporte,RECREACION,FNDR,OT,45000.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,45000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20110700,CONSTRUCCION CASETAS SANITARIA RENGO URBANO Y ROSARIO CENTRO,1997,PROYECTO,Vivienda y Urbanismo,SOLUCION HABITACIONAL PARCIAL O COMPLEMENTARIA,Sectorial,RS,13310.0,PREFACTIBILIDAD,SUBSECRETARIA DESARROLLO REGIONAL Y ADMINISTRATIVO,MUNICIPALIDAD DE RENGO,13310.0,Rosario Centro,Urbano,-34.34788,-70.84245,1990s,Pre-PLADECO
20110712,CONSTRUCCION CASETAS SANITARIAS SECTOR ESMERALDA,1997,PROYECTO,Vivienda y Urbanismo,SOLUCION HABITACIONAL PARCIAL O COMPLEMENTARIA,Sectorial,RS,22000.0,PREFACTIBILIDAD,SUBSECRETARIA DESARROLLO REGIONAL Y ADMINISTRATIVO,MUNICIPALIDAD DE RENGO,22000.0,Esmeralda,Rural,-34.34281,-70.9049,1990s,Pre-PLADECO
20112496,AMPLIACION ESCUELA HUILQIO RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,14722.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,14722.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20112558,CAPACITACION FAMILIAS EXTREMA POBREZA COMITE SAN BENITO RENGO,1997,PROGRAMA,Multisectorial,ASISTENCIA Y SERVICIO SOCIAL,FNDR,OT,44208.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,44208.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20112683,CONSTRUCCION PUENTE POPETA ENTRE RUTA H-521 Y H-65,1997,PROYECTO,Transporte y Vialidad,TRANSPORTE CAMINERO,Sectorial,RS,675000.0,EJECUCION,DIRECCION DE VIALIDAD,DIRECCION DE VIALIDAD,675000.0,Popeta,Rural,-34.42,-70.88,1990s,Pre-PLADECO
20116456,"CONSTRUCCION PAVIM. CALLE BULNES, ROSARIO-RENGO",1997,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,RS,46046.0,EJECUCION,SERVICIO VIVIENDA Y URBANIZACION VI REGION,SEREMI VIVIENDA VI REGION,46046.0,Rosario,Rural,-34.34788,-70.84245,1990s,Pre-PLADECO
20116875,"MEJORAMIENTO CAMINOS H-577, H-631 RENGO - RINCONADA MALAMBO",1997,PROYECTO,Transporte y Vialidad,TRANSPORTE CAMINERO,Sectorial,RS,144000.0,PERFIL,DIRECCION DE VIALIDAD,VIALIDAD MOP VI REGION LIB.GRAL. BERNARDO O'HIGGIN,144000.0,Malambo,Rural,-34.42437,-70.83827,1990s,Pre-PLADECO
20116960,REPOSICION SS.HH. KINDER Y DE PROFESORES ESCUELA HUILQUIO,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,6000.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,6000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
