punto_id,tipo_punto,nombre,latitud,longitud,localidad,categoria,valor_M,fecha
BIP0136,Proyecto BIP,HABILITACION CENTRO DE DIAGNOSTICO Y ATENCIÓN PSICO KINESICO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,52315.0,1999
BIP0137,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHANQUEAHUE,-34.4335,-70.78779,Chanqueahue,Recursos Hídricos,23070.0,1999
BIP0138,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHANQUEAHUE,-34.4335,-70.78779,Chanqueahue,Recursos Hídricos,145470.0,1999
BIP0139,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHOAPINOS,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,16953.0,1999
BIP0140,Proyecto BIP,MEJORAMIENTO SERVICIO DE APR CHOAPINOS,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,91470.0,1999
BIP0141,Proyecto BIP,HABILITACION Y EQUIPAMIENTO CUARTEL 1º CIA BOMBEROS DE RENGO,-34.40518,-70.86324,Rengo (comunal),Multisectorial,33355.0,1999
BIP0142,Proyecto BIP,REPARACION Y EQUIPAMIENTO PRIMER JUZGADO DE LETRAS DE RENGO,-34.40518,-70.86324,Rengo (comunal),Justicia y Seguridad,12669.0,1999
BIP0143,Proyecto BIP,CONSTRUCCION PATINODROMO DE RENGO,-34.40518,-70.86324,Rengo (comunal),Deporte,75000.0,1999
BIP0144,Proyecto BIP,AMPLIACION ESCUELA MARTA AVARIA S. RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,45927.0,1999
BIP0145,Proyecto BIP,AMPLIACION COLEGIO VILLA DEL COBIL RENGO,-34.39994,-70.89498,Cobil,Educación y Cultura,21483.0,1999
BIP0146,Proyecto BIP,CONSTRUCCION AVENIDA INDUSTRIAL DE RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,1136490.0,1999
BIP0147,Proyecto BIP,CONSTRUCCION AVENIDA INDUSTRIAL DE RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,20000.0,1999
BIP0148,Proyecto BIP,DIAGNOSTICO REFORMULACION CURRICULAR Y FORTALECIMI.LICEO TEC,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,32590.0,1999
BIP0149,Proyecto BIP,REPOSICION EQUIPAMIENTO SERVICIO CIRUGIA HOSPITAL RENGO,-34.40518,-70.86324,Rengo (comunal),Salud,22000.0,1999
BIP0150,Proyecto BIP,EQUIPAMIENTO SERVICIO DE MEDICINA HOSPITAL RENGO,-34.40518,-70.86324,Rengo (comunal),Salud,35000.0,1999
BIP0151,Proyecto BIP,EQUIPAMIENTO SERVICIO DENTAL HOSPITAL RENGO,-34.40518,-70.86324,Rengo (comunal),Salud,10000.0,1999
BIP0152,Proyecto BIP,REPOSICION EQUIPAMIENTO SERVICIO DE PEDIATRIA HOSPITAL RENGO,-34.40518,-70.86324,Rengo (comunal),Salud,32000.0,1999
BIP0153,Proyecto BIP,CONSTRUCCION PATINODROMO DE RENGO,-34.40518,-70.86324,Rengo (comunal),Deporte,160000.0,1999
BIP0154,Proyecto BIP,CONSTRUCCION PAVIM. CALLE COLO COLO - RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,48935.0,1999
BIP0155,Proyecto BIP,CONSTRUCCION PAVIM. CALLE ARAUCO - RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,20208.0,1999
